"Target","Source","Year","Weight"
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","ANNALS OF STATISTICS",2002,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","ANNALS OF STATISTICS",2003,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","ANNALS OF STATISTICS",2004,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","ANNALS OF STATISTICS",2005,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","ANNALS OF STATISTICS",2008,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","ANNALS OF STATISTICS",2009,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","ANNALS OF STATISTICS",2010,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","ANNALS OF STATISTICS",2011,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","ANNALS OF STATISTICS",2012,11
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","ANNALS OF STATISTICS",2013,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","ANNALS OF STATISTICS",2015,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","ANNALS OF STATISTICS",2016,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","ANNALS OF STATISTICS",2017,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","ANNALS OF STATISTICS",2019,4
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","ANNALS OF STATISTICS",2020,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","ANNALS OF STATISTICS",2021,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS",1988,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS",1989,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS",1993,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS",1998,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS",1999,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS",2000,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS",2002,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS",2006,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS",2010,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS",2011,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS",2016,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION",2014,4
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION",2017,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION",2018,9
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION",2019,6
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION",2020,5
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION",2021,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BERNOULLI",1997,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BERNOULLI",1999,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BERNOULLI",2011,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BERNOULLI",2013,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BERNOULLI",2015,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BERNOULLI",2016,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BERNOULLI",2017,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BERNOULLI",2018,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",1983,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",1984,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",1985,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",1986,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",1987,4
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",1988,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",1989,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",1990,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",1991,11
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",1992,5
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",1993,4
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",1994,5
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",1995,5
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",1996,4
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",1997,11
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",1998,4
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",1999,18
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",2000,10
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",2001,9
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",2002,12
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",2003,9
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",2004,8
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",2005,4
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",2006,7
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",2007,12
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",2008,11
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",2009,11
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",2010,13
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",2011,11
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",2012,9
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",2013,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",2014,10
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",2015,13
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",2016,6
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",2017,15
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",2018,8
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",2019,7
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",2020,8
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRICS",2021,15
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",1983,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",1984,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",1986,6
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",1987,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",1988,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",1989,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",1990,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",1991,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",1992,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",1993,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",1994,4
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",1995,5
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",1996,4
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",1997,4
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",1998,7
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",1999,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",2000,5
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",2001,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",2002,6
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",2003,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",2004,4
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",2005,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",2006,6
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",2007,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",2008,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",2009,10
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",2010,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",2011,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",2012,5
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",2013,5
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",2014,4
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",2015,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",2016,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",2017,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",2018,4
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",2020,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOMETRIKA",2021,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOSTATISTICS",2002,6
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOSTATISTICS",2003,8
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOSTATISTICS",2004,5
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOSTATISTICS",2005,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOSTATISTICS",2006,11
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOSTATISTICS",2007,4
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOSTATISTICS",2008,4
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOSTATISTICS",2009,9
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOSTATISTICS",2010,6
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOSTATISTICS",2011,5
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOSTATISTICS",2012,8
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOSTATISTICS",2013,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOSTATISTICS",2014,4
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOSTATISTICS",2015,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOSTATISTICS",2016,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOSTATISTICS",2017,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOSTATISTICS",2019,5
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOSTATISTICS",2020,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","BIOSTATISTICS",2021,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION",1983,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION",1987,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION",1989,4
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION",1990,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION",1992,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION",1993,6
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION",1995,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION",1997,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION",1998,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION",2001,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION",2003,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION",2004,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION",2005,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION",2006,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION",2008,9
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION",2009,6
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION",2010,4
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION",2011,5
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION",2012,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION",2013,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION",2014,11
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION",2015,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION",2016,6
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION",2017,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION",2018,9
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION",2019,15
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION",2020,10
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION",2021,4
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",1984,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",1985,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",1986,5
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",1987,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",1988,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",1989,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",1990,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",1991,4
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",1992,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",1993,5
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",1994,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",1995,4
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",1996,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",1997,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",1998,6
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",1999,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",2000,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",2001,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",2002,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",2004,11
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",2005,6
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",2006,6
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",2007,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",2008,8
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",2009,10
