"Target","Source","Year","Weight"
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICAL MODELLING",2016,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICAL MODELLING",2017,4
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICAL MODELLING",2018,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICAL MODELLING",2019,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICAL MODELLING",2020,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICAL SCIENCE",2014,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICAL SCIENCE",2016,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICAL SCIENCE",2018,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICS",2018,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICS",2019,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICS & PROBABILITY LETTERS",2013,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICS & PROBABILITY LETTERS",2015,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICS & PROBABILITY LETTERS",2016,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICS & PROBABILITY LETTERS",2017,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICS & PROBABILITY LETTERS",2019,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICS & PROBABILITY LETTERS",2020,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICS AND COMPUTING",2011,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICS AND COMPUTING",2014,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICS AND COMPUTING",2015,3
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICS AND COMPUTING",2016,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICS AND COMPUTING",2017,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICS AND COMPUTING",2018,5
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICS AND COMPUTING",2019,5
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICS AND COMPUTING",2020,11
"AMERICAN STATISTICIAN","ADVANCES IN DATA ANALYSIS AND CLASSIFICATION",2008,1
"AMERICAN STATISTICIAN","ADVANCES IN DATA ANALYSIS AND CLASSIFICATION",2009,1
"AMERICAN STATISTICIAN","ADVANCES IN DATA ANALYSIS AND CLASSIFICATION",2010,1
